Pathway	GeneID	Symbol	Description	Salt24h_vs_CK_log2FC	Salt24h_vs_CK_padj	Salt48h_vs_CK_log2FC	Salt48h_vs_CK_padj	Salt48h_vs_24h_log2FC	Salt48h_vs_24h_padj
Methionine	CL2338.Contig8_All		gi|721663168|ref|XP_010235358.1|/4.8998e-17/PREDICTED: methionine aminopeptidase 2B-like [Brachypodium distachyon] &gt;gi|944063632|gb|KQJ99222.1| hypothetical protein BRADI_3g41840 [Brachypodium distachyon]	-0.9606	NA	-1.1644	NA	-0.2038	NA
Methionine	CL2338.Contig9_All	sp|Q56Y85|MAP22_ARATH/0.0/Methionine aminopeptidase 2B OS=Arabidopsis thaliana GN=MAP2B PE=2 SV=2	gi|721663168|ref|XP_010235358.1|/0/PREDICTED: methionine aminopeptidase 2B-like [Brachypodium distachyon] &gt;gi|944063632|gb|KQJ99222.1| hypothetical protein BRADI_3g41840 [Brachypodium distachyon]	-0.2653	NA	-0.4029	NA	-0.1376	NA
Ubiquitin_Proteasome	CL2344.Contig1_All	sp|Q9FKP5|UBP17_ARATH/3e-142/Ubiquitin carboxyl-terminal hydrolase 17 OS=Arabidopsis thaliana GN=UBP17 PE=2 SV=1	gi|475627961|gb|EMT33844.1|/0/Ubiquitin carboxyl-terminal hydrolase 17 [Aegilops tauschii]	-0.8114	NA	-0.9262	NA	-0.1148	NA
Ubiquitin_Proteasome	CL2344.Contig2_All	sp|Q9FKP5|UBP17_ARATH/3e-141/Ubiquitin carboxyl-terminal hydrolase 17 OS=Arabidopsis thaliana GN=UBP17 PE=2 SV=1	gi|475627961|gb|EMT33844.1|/0/Ubiquitin carboxyl-terminal hydrolase 17 [Aegilops tauschii]	0.0095	NA	0.0376	NA	0.0281	NA
Translation	CL2346.Contig2_All		gi|514768105|ref|XP_004966406.1|/2.13746e-64/PREDICTED: translation initiation factor IF-2-like [Setaria italica]	3.1239	NA	1.9763	NA	-1.1476	NA
Chaperone	CL2349.Contig1_All		gi|835951193|ref|XR_214807.2|/3.94539e-10/PREDICTED: Setaria italica heat shock 70 kDa protein 15-like (LOC101770649), transcript variant X2, misc_RNA	-0.4398	NA	-0.0177	NA	0.4222	NA
Chaperone	CL2349.Contig8_All		gi|835951193|ref|XR_214807.2|/7.84435e-16/PREDICTED: Setaria italica heat shock 70 kDa protein 15-like (LOC101770649), transcript variant X2, misc_RNA	1.4957	NA	0.7312	NA	-0.7645	NA
Transcription	CL2352.Contig10_All	sp|Q10RE5|MTND2_ORYSJ/2e-32/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/2.97695e-33/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	-0.4195	NA	-1.1716	NA	-0.7521	NA
Transcription	CL2352.Contig11_All	sp|Q10RE5|MTND2_ORYSJ/2e-36/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/1.26298e-36/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	1.1494	NA	1.1135	NA	-0.0359	NA
Transcription	CL2352.Contig15_All	sp|Q10RE5|MTND2_ORYSJ/7e-37/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/5.47653e-37/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	2.3149	NA	-5.3576	NA	-7.6724	NA
Transcription	CL2352.Contig16_All	sp|Q10RE5|MTND2_ORYSJ/1e-32/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/1.69828e-33/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	0.8882	NA	-0.4753	NA	-1.3635	NA
Transcription	CL2352.Contig19_All	sp|Q10RE5|MTND2_ORYSJ/1e-36/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/1.18276e-36/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	0.9901	NA	1.3337	NA	0.3437	NA
Transcription	CL2352.Contig2_All	sp|Q10RE5|MTND2_ORYSJ/2e-26/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/2.93093e-26/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	0.9511	NA	1.821	NA	0.8699	NA
Transcription	CL2352.Contig6_All	sp|Q10RE5|MTND2_ORYSJ/6e-36/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/3.80864e-36/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	0.737	NA	0.0931	NA	-0.6439	NA
Transcription	CL2352.Contig7_All	sp|A1L4T4|MTND1_ORYSJ/2e-34/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1 OS=Oryza sativa subsp. japonica GN=ARD1 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/1.22622e-40/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	3.5025	NA	3.1699	NA	-0.3326	NA
Transcription	CL2352.Contig8_All	sp|Q10RE5|MTND2_ORYSJ/7e-37/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/4.74887e-37/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	-0.9223	NA	-0.806	NA	0.1163	NA
Transcription	CL2352.Contig9_All	sp|Q10RE5|MTND2_ORYSJ/6e-37/1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 2 OS=Oryza sativa subsp. japonica GN=ARD2 PE=2 SV=1	gi|960453657|ref|XP_003558764.2|/3.99982e-37/PREDICTED: LOW QUALITY PROTEIN: heat stress transcription factor A-2d [Brachypodium distachyon]	-2.1793	NA	-1.0476	NA	1.1317	NA
Glutathione_Metabolism	CL2358.Contig1_All	sp|O23814|GPX4_SPIOL/1e-85/Probable phospholipid hydroperoxide glutathione peroxidase OS=Spinacia oleracea PE=2 SV=1	gi|536709432|gb|AGU41828.1|/1.30187e-105/glutathione peroxidase W106 [Triticum aestivum]	0.4307	NA	0.9958	NA	0.5651	NA
Protein_Kinase_Signalling	CL2359.Contig1_All	sp|Q8GXZ3|Y5102_ARATH/3e-121/Serine/threonine-protein kinase At5g01020 OS=Arabidopsis thaliana GN=At5g01020 PE=1 SV=1	gi|475554340|gb|EMT12212.1|/0/Protein kinase APK1B, chloroplastic [Aegilops tauschii]	-0.7274	NA	-0.8625	NA	-0.1351	NA
Serine	CL2359.Contig2_All	sp|Q8GXZ3|Y5102_ARATH/2e-153/Serine/threonine-protein kinase At5g01020 OS=Arabidopsis thaliana GN=At5g01020 PE=1 SV=1	gi|357123318|ref|XP_003563358.1|/0/PREDICTED: serine/threonine-protein kinase At5g01020 [Brachypodium distachyon] &gt;gi|944081629|gb|KQK16981.1| hypothetical protein BRADI_1g31750 [Brachypodium distachyon]	-0.7922	NA	-1.371	NA	-0.5788	NA
Serine	CL2359.Contig3_All	sp|Q8GXZ3|Y5102_ARATH/2e-153/Serine/threonine-protein kinase At5g01020 OS=Arabidopsis thaliana GN=At5g01020 PE=1 SV=1	gi|357123318|ref|XP_003563358.1|/0/PREDICTED: serine/threonine-protein kinase At5g01020 [Brachypodium distachyon] &gt;gi|944081629|gb|KQK16981.1| hypothetical protein BRADI_1g31750 [Brachypodium distachyon]	0.6924	NA	0.415	NA	-0.2773	NA
Protein_Kinase_Signalling	CL236.Contig10_All	sp|Q9FLW9|PKP2_ARATH/8e-23/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673445|ref|XP_007038894.1|/1.81097e-22/Plastidic pyruvate kinase beta subunit 1 isoform 3 [Theobroma cacao] &gt;gi|508776139|gb|EOY23395.1| Plastidic pyruvate kinase beta subunit 1 isoform 3 [Theobroma cacao]	0.2669	NA	-0.097	NA	-0.364	NA
Protein_Kinase_Signalling	CL236.Contig12_All	sp|Q9FLW9|PKP2_ARATH/3e-10/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/6.49561e-10/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	-0.2462	NA	0.1856	NA	0.4317	NA
Protein_Kinase_Signalling	CL236.Contig13_All	sp|Q9FLW9|PKP2_ARATH/2e-10/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/6.08962e-10/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	2.9307	NA	2.2854	NA	-0.6453	NA
Protein_Kinase_Signalling	CL236.Contig14_All	sp|Q9FLW9|PKP2_ARATH/6e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/1.69639e-16/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	0.2705	NA	1.585	NA	1.3145	NA
Protein_Kinase_Signalling	CL236.Contig15_All	sp|Q9FLW9|PKP2_ARATH/3e-10/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/6.5617e-10/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	2.2347	NA	1.415	NA	-0.8197	NA
Protein_Kinase_Signalling	CL236.Contig16_All	sp|Q9FLW9|PKP2_ARATH/7e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/2.10652e-16/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	1.4206	NA	1.685	NA	0.2644	NA
Protein_Kinase_Signalling	CL236.Contig4_All	sp|Q9FLW9|PKP2_ARATH/9e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/2.11404e-16/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	-0.709	NA	0.22	NA	0.9289	NA
Protein_Kinase_Signalling	CL236.Contig5_All	sp|Q9FLW9|PKP2_ARATH/1e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/1.03262e-17/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	0.6189	NA	1.1075	NA	0.4886	NA
Protein_Kinase_Signalling	CL236.Contig6_All	sp|Q9FLW9|PKP2_ARATH/4e-15/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/1.35499e-15/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	0.8457	NA	0.5873	NA	-0.2584	NA
Protein_Kinase_Signalling	CL236.Contig7_All	sp|Q9FLW9|PKP2_ARATH/1e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/4.14831e-17/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	0.4957	NA	0.8875	NA	0.3918	NA
Protein_Kinase_Signalling	CL236.Contig8_All	sp|Q9FLW9|PKP2_ARATH/1e-14/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/3.63333e-15/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	0.019	NA	0.469	NA	0.45	NA
Protein_Kinase_Signalling	CL236.Contig9_All	sp|Q9FLW9|PKP2_ARATH/1e-16/Plastidial pyruvate kinase 2 OS=Arabidopsis thaliana GN=PKP2 PE=1 SV=1	gi|590673462|ref|XP_007038899.1|/1.03461e-17/Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao] &gt;gi|508776144|gb|EOY23400.1| Plastidic pyruvate kinase beta subunit 1 [Theobroma cacao]	1.1797	NA	1.9777	NA	0.798	NA
RNA_Processing	CL2360.Contig3_All		gi|670419630|ref|XP_008650605.1|/3.9927e-07/PREDICTED: putative ribonuclease H protein At1g65750 [Zea mays]	2.5806	NA	3.0673	NA	0.4867	NA
Glycolysis	CL2367.Contig12_All		gi|848881286|ref|XM_012985555.1|/7.24334e-06/PREDICTED: Erythranthe guttatus glucose-1-phosphate adenylyltransferase small subunit, chloroplastic/amyloplastic-like (LOC105961322), mRNA	0.8247	NA	0.3653	NA	-0.4594	NA
Glycolysis	CL2367.Contig3_All		gi|848881286|ref|XM_012985555.1|/7.65889e-06/PREDICTED: Erythranthe guttatus glucose-1-phosphate adenylyltransferase small subunit, chloroplastic/amyloplastic-like (LOC105961322), mRNA	0.0121	NA	-6.8948	NA	-6.9069	NA
Glycine	CL2371.Contig1_All	sp|P49311|GRP2_SINAL/4e-21/Glycine-rich RNA-binding protein GRP2A OS=Sinapis alba PE=2 SV=1	gi|357119205|ref|XP_003561336.1|/1.6901e-67/PREDICTED: glycine-rich RNA-binding protein RZ1C-like isoform X1 [Brachypodium distachyon] &gt;gi|944078427|gb|KQK13779.1| hypothetical protein BRADI_1g12460 [Brachypodium distachyon]	0.3103	NA	0.0115	NA	-0.2988	NA
Glycine	CL2371.Contig2_All	sp|P49311|GRP2_SINAL/5e-21/Glycine-rich RNA-binding protein GRP2A OS=Sinapis alba PE=2 SV=1	gi|357119205|ref|XP_003561336.1|/1.93678e-66/PREDICTED: glycine-rich RNA-binding protein RZ1C-like isoform X1 [Brachypodium distachyon] &gt;gi|944078427|gb|KQK13779.1| hypothetical protein BRADI_1g12460 [Brachypodium distachyon]	0.1973	NA	-0.1799	NA	-0.3771	NA
Protein_Kinase_Signalling	CL2373.Contig1_All	sp|Q9SBN4|PGKH_VOLCA/2e-36/Phosphoglycerate kinase, chloroplastic OS=Volvox carteri GN=PGK PE=2 SV=1	gi|721659096|ref|XP_010234765.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X2 [Brachypodium distachyon] &gt;gi|944061290|gb|KQJ96880.1| hypothetical protein BRADI_3g27600 [Brachypodium distachyon]	0.5525	NA	3.1375	NA	2.585	NA
Protein_Kinase_Signalling	CL2373.Contig2_All	sp|O80939|LRK41_ARATH/1e-105/L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana GN=LECRK41 PE=2 SV=1	gi|721659093|ref|XP_010234764.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X1 [Brachypodium distachyon]	-0.0703	NA	-0.8012	NA	-0.731	NA
Protein_Kinase_Signalling	CL2373.Contig3_All	sp|O80939|LRK41_ARATH/1e-56/L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana GN=LECRK41 PE=2 SV=1	gi|721659096|ref|XP_010234765.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X2 [Brachypodium distachyon] &gt;gi|944061290|gb|KQJ96880.1| hypothetical protein BRADI_3g27600 [Brachypodium distachyon]	-0.1589	NA	-0.2934	NA	-0.1345	NA
Protein_Kinase_Signalling	CL2373.Contig4_All	sp|O80939|LRK41_ARATH/4e-61/L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana GN=LECRK41 PE=2 SV=1	gi|721659096|ref|XP_010234765.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X2 [Brachypodium distachyon] &gt;gi|944061290|gb|KQJ96880.1| hypothetical protein BRADI_3g27600 [Brachypodium distachyon]	-0.9767	NA	-2.2146	NA	-1.2379	NA
Protein_Kinase_Signalling	CL2373.Contig5_All	sp|O80939|LRK41_ARATH/0.0/L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana GN=LECRK41 PE=2 SV=1	gi|115482202|ref|NP_001064694.1|/0/Os10g0442000 [Oryza sativa Japonica Group] &gt;gi|78708731|gb|ABB47706.1| lectin protein kinase, putative, expressed [Oryza sativa Japonica Group] &gt;gi|113639303|dbj|BAF26608.1| Os10g0442000 [Oryza sativa Japonica Group] &gt;gi|215701025|dbj|BAG92449.1| unnamed protein product [Oryza sativa Japonica Group] &gt;gi|937936126|dbj|BAT11040.1| Os10g0442000 [Oryza sativa Japonica Group]	-0.4817	NA	-1.3853	NA	-0.9036	NA
Protein_Kinase_Signalling	CL2373.Contig6_All	sp|O80939|LRK41_ARATH/0.0/L-type lectin-domain containing receptor kinase IV.1 OS=Arabidopsis thaliana GN=LECRK41 PE=2 SV=1	gi|721659096|ref|XP_010234765.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X2 [Brachypodium distachyon] &gt;gi|944061290|gb|KQJ96880.1| hypothetical protein BRADI_3g27600 [Brachypodium distachyon]	1	NA	0.4174	NA	-0.5826	NA
Protein_Kinase_Signalling	CL2373.Contig8_All	sp|Q9SBN4|PGKH_VOLCA/6e-16/Phosphoglycerate kinase, chloroplastic OS=Volvox carteri GN=PGK PE=2 SV=1	gi|721659096|ref|XP_010234765.1|/0/PREDICTED: phosphoglycerate kinase-like isoform X2 [Brachypodium distachyon] &gt;gi|944061290|gb|KQJ96880.1| hypothetical protein BRADI_3g27600 [Brachypodium distachyon]	0.0503	NA	1.3805	NA	1.3301	NA
Transcription	CL238.Contig1_All	sp|Q0J8G8|MAD26_ORYSJ/5e-64/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|672890425|ref|NP_001288322.1|/2.17137e-94/MADS-box transcription factor 26-like [Brachypodium distachyon] &gt;gi|666689741|gb|AIG21844.1| MADS-box transcription factor 36 [Brachypodium distachyon] &gt;gi|944047193|gb|KQJ82834.1| hypothetical protein BRADI_5g11270 [Brachypodium distachyon]	-3	NA	-0.1926	NA	2.8074	NA
Transcription	CL238.Contig10_All		gi|474391899|gb|EMS65405.1|/2.64087e-16/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-6.4757	NA	-6.4757	NA	0	NA
Transcription	CL238.Contig12_All	sp|Q0J8G8|MAD26_ORYSJ/2e-73/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/7.93175e-120/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-8.2761	NA	-8.2761	NA	0	NA
Transcription	CL238.Contig2_All	sp|Q38841|AGL12_ARATH/2e-29/Agamous-like MADS-box protein AGL12 OS=Arabidopsis thaliana GN=AGL12 PE=2 SV=2	gi|474391899|gb|EMS65405.1|/5.42965e-44/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-5.3923	NA	-5.3923	NA	0	NA
Transcription	CL238.Contig3_All	sp|Q0J8G8|MAD26_ORYSJ/9e-56/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/1.28522e-89/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-4.2479	NA	-4.2479	NA	0	NA
Transcription	CL238.Contig4_All	sp|Q2QW55|MAD33_ORYSJ/3e-36/MADS-box transcription factor 33 OS=Oryza sativa subsp. japonica GN=MADS33 PE=2 SV=2	gi|960490325|ref|XP_014758882.1|/2.2242e-47/PREDICTED: MADS-box transcription factor 26-like isoform X1 [Brachypodium distachyon]	-6.9307	NA	-6.9307	NA	0	NA
Transcription	CL238.Contig5_All	sp|Q0J8G8|MAD26_ORYSJ/1e-72/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/5.41775e-119/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-7.4998	NA	-7.4998	NA	0	NA
Transcription	CL238.Contig6_All	sp|Q0J8G8|MAD26_ORYSJ/4e-65/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/3.5205e-116/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-5.9773	NA	-5.9773	NA	0	NA
Transcription	CL238.Contig7_All	sp|Q0J8G8|MAD26_ORYSJ/1e-65/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/4.18e-117/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-6.9189	NA	-6.9189	NA	0	NA
Transcription	CL238.Contig8_All	sp|Q0J8G8|MAD26_ORYSJ/1e-65/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/5.58128e-117/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	-3	NA	-3	NA	0	NA
Transcription	CL238.Contig9_All	sp|Q0J8G8|MAD26_ORYSJ/7e-32/MADS-box transcription factor 26 OS=Oryza sativa subsp. japonica GN=MADS26 PE=2 SV=1	gi|474391899|gb|EMS65405.1|/4.1102e-80/MADS-box transcription factor 26 [Triticum urartu] &gt;gi|475477759|gb|EMT02699.1| MADS-box transcription factor 26 [Aegilops tauschii]	2.3049	NA	0	NA	-2.3049	NA
Purine	CL2383.Contig4_All	sp|Q84ZT9|WVD2_ARATH/5e-12/Protein WAVE-DAMPENED 2 OS=Arabidopsis thaliana GN=WVD2 PE=2 SV=1	gi|357151911|ref|XP_003575947.1|/7.55239e-125/PREDICTED: guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas [Brachypodium distachyon] &gt;gi|944052513|gb|KQJ88151.1| hypothetical protein BRADI_4g16050 [Brachypodium distachyon]	0.1433	NA	-1.0832	NA	-1.2265	NA
Vitamin_C_Ascorbate	CL2383.Contig7_All		gi|960487380|ref|XM_003578624.3|/2.94792e-10/PREDICTED: Brachypodium distachyon monodehydroascorbate reductase (LOC100825974), mRNA	0.3985	NA	-0.2268	NA	-0.6253	NA
Glutamine	CL2385.Contig2_All	sp|Q9FF12|GSXL9_ARATH/9e-81/Flavin-containing monooxygenase FMO GS-OX-like 9 OS=Arabidopsis thaliana GN=At5g07800 PE=2 SV=1	gi|721660590|ref|XP_003572059.2|/0/PREDICTED: flavin-containing monooxygenase FMO GS-OX-like 4 isoform X1 [Brachypodium distachyon] &gt;gi|944062155|gb|KQJ97745.1| hypothetical protein BRADI_3g32990 [Brachypodium distachyon]	-0.5719	NA	-0.3433	NA	0.2286	NA
Glutamine	CL2385.Contig4_All	sp|Q9SXE1|GSOX3_ARATH/8e-104/Flavin-containing monooxygenase FMO GS-OX3 OS=Arabidopsis thaliana GN=FMOGS-OX3 PE=2 SV=1	gi|721660590|ref|XP_003572059.2|/0/PREDICTED: flavin-containing monooxygenase FMO GS-OX-like 4 isoform X1 [Brachypodium distachyon] &gt;gi|944062155|gb|KQJ97745.1| hypothetical protein BRADI_3g32990 [Brachypodium distachyon]	-0.307	NA	-0.2584	NA	0.0486	NA
Glutamine	CL2385.Contig5_All	sp|Q9SXE1|GSOX3_ARATH/3e-105/Flavin-containing monooxygenase FMO GS-OX3 OS=Arabidopsis thaliana GN=FMOGS-OX3 PE=2 SV=1	gi|721660590|ref|XP_003572059.2|/0/PREDICTED: flavin-containing monooxygenase FMO GS-OX-like 4 isoform X1 [Brachypodium distachyon] &gt;gi|944062155|gb|KQJ97745.1| hypothetical protein BRADI_3g32990 [Brachypodium distachyon]	0.3743	NA	0.7305	NA	0.3562	NA
Ubiquitin_Proteasome	CL2386.Contig1_All	sp|P25868|UBC7_WHEAT/2e-86/Ubiquitin-conjugating enzyme E2 7 OS=Triticum aestivum GN=UBC7 PE=2 SV=1	gi|357125811|ref|XP_003564583.1|/1.94775e-92/PREDICTED: ubiquitin-conjugating enzyme E2 7 [Brachypodium distachyon] &gt;gi|944075021|gb|KQK10505.1| hypothetical protein BRADI_2g54550 [Brachypodium distachyon]	-0.3341	NA	0.4578	NA	0.7919	NA
Ubiquitin_Proteasome	CL2386.Contig2_All	sp|P25868|UBC7_WHEAT/6e-75/Ubiquitin-conjugating enzyme E2 7 OS=Triticum aestivum GN=UBC7 PE=2 SV=1	gi|357125811|ref|XP_003564583.1|/1.03073e-76/PREDICTED: ubiquitin-conjugating enzyme E2 7 [Brachypodium distachyon] &gt;gi|944075021|gb|KQK10505.1| hypothetical protein BRADI_2g54550 [Brachypodium distachyon]	-0.1826	NA	-0.1545	NA	0.0281	NA
Protein_Kinase_Signalling	CL2390.Contig1_All	sp|P28523|CSK2A_MAIZE/0.0/Casein kinase II subunit alpha OS=Zea mays GN=ACK2 PE=1 SV=1	gi|64976597|dbj|BAD98469.1|/0/casein protein kinase 2 alpha subunit [Lolium perenne]	0.2892	NA	0.433	NA	0.1437	NA
Protein_Kinase_Signalling	CL2390.Contig2_All	sp|P28523|CSK2A_MAIZE/0.0/Casein kinase II subunit alpha OS=Zea mays GN=ACK2 PE=1 SV=1	gi|64976597|dbj|BAD98469.1|/0/casein protein kinase 2 alpha subunit [Lolium perenne]	-0.0952	NA	0.503	NA	0.5982	NA
