Pathway	GeneID	Symbol	Description	HL_vs_ML_log2FC	HL_vs_ML_padj
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.20151	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.223646	0.103874
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.406859	0.00344485
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.344166	0.0117859
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.598699	0.00106626
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-1.12672	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.788854	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.381412	0.285741
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-3.16617	0.00229643
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.289026	0.0758745
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.250382	0.0624019
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.228405	0.459358
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	1.53824	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.538971	0.00138519
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.368846	0.252292
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.61033	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.18347	0.188332
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.521715	0.000565493
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.614775	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.854795	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-1.54906	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.542424	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.870886	0.0243952
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-3.12181	0.00229643
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.15794	0.366368
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.114653	0.448831
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.223037	0.500974
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.414766	0.182934
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	1.75239	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.707261	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.194217	0.58596
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.65359	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.487256	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.00662292	0.97063
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.8708	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.965485	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-1.46537	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.59601	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.562115	0.118233
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.904307	0.136734
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.0416778	0.840541
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.107407	0.468803
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.217703	0.565284
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.918263	0.0167113
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.369445	0.00560656
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0255107	0.90321
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.718291	0.0422396
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.63212	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.366574	0.00612871
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.0528069	0.748956
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.209418	0.137179
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.27164	0.21179
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.152586	0.478273
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.216714	0.131233
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.400837	0.29514
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.19826	0.0497736
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.141542	0.453683
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0338918	0.835276
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.479608	0.145465
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.495087	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.0359503	0.858696
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.483427	0.197332
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.20526	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.140184	0.333739
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.205196	0.16206
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0386117	0.816443
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.0339698	0.89185
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.360981	0.0757065
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.717698	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.237906	0.570094
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.548192	0.395264
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.249919	0.164569
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0647921	0.683959
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.534941	0.102352
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.402806	0.00199895
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.0419303	0.83584
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.955222	0.00560656
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.09518	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.119701	0.417084
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.153827	0.312218
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.00477007	0.978126
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.0230293	0.922788
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.0260886	0.913886
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.581705	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.315512	0.424508
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.37693	0.0271073
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.185524	0.309125
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.133802	0.35028
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.540711	0.0979407
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.101141	0.496917
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.657331	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.959277	0.00534408
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.2841	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.14835	0.300828
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.346735	0.0145696
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.37423	0.00625733
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.681751	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.149218	0.491641
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.431514	0.00229643
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.157024	0.713773
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-2.44266	0.000202999
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.456039	0.00344485
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0372631	0.820122
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.730598	0.0200211
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.955964	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.578724	0.000565493
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.893639	0.00999532
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.69292	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.258765	0.0540089
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.461591	0.00106626
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.644839	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.937847	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.273131	0.150356
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.185084	0.206309
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.332449	0.454927
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-2.3983	0.000202999
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.324953	0.0483777
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.327772	0.01202
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.279156	0.436233
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-1.19029	0.00273469
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	1.17011	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.747014	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.71901	0.0419531
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	1.73618	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.562551	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.0667468	0.684092
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.900864	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-1.04854	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.18944	0.346823
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.23867	0.0961513
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.0236788	0.975021
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.723518	0.374069
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.167012	0.349836
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.213119	0.121878
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.502193	0.1235
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.58228	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.0397528	0.842836
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.524793	0.152777
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.0825902	0.609637
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.0752954	0.624107
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.0601239	0.716704
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.0300635	0.861187
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.083052	0.724095
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	1.27593	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.35734	0.00753253
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.538437	0.136806
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.429929	0.369724
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.0896958	0.644034
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.188034	0.178889
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.373257	0.241911
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-1.1146	0.00740619
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.664497	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.549702	0.00106626
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.180572	0.610247
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.517845	0.000736335
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.278871	0.0409973
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.350797	0.0155912
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.674914	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.13395	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.0686812	0.775442
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0108544	0.952073
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.237603	0.540037
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.135981	0.785355
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.18956	0.292785
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0467356	0.770158
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.111352	0.742397
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.790139	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.560142	0.000565493
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.0542925	0.893929
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.0909821	0.614676
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.0524812	0.740015
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.198408	0.188469
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.504108	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.896276	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.139714	0.546387
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.511839	0.000565493
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.0746715	0.863867
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	0.786044	0.118846
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.297937	0.0869057
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0158353	0.927497
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0560193	0.871049
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.697858	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.482261	0.00399968
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.417503	0.188332
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0190917	0.92575
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.0319986	0.844576
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.249777	0.0928057
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.470266	0.000903033
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.839277	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.247356	0.226558
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.375845	0.00664499
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.152278	0.702567
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-0.0426987	0.922447
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.233542	0.184131
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0531746	0.736889
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0502497	0.885322
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.193911	0.160867
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.13314	0.510542
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.421558	0.18021
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.169829	0.311565
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.0606477	0.702442
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.0568685	0.743585
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.0912663	0.570566
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.180555	0.316329
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.0720498	0.763395
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.225654	0.119548
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.00621009	0.975893
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.10842	0.00413608
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.408021	0.010235
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.11789	0.423164
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	-0.139638	0.66377
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.660912	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.0545326	0.802171
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.35592	0.271129
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.578646	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.346468	0.00828083
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	0.0579873	0.744862
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.179342	0.233492
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.0755412	0.698329
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.494398	0.00702733
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.0207754	0.90596
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.495683	0.230008
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	-1.06406	0.00521247
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.276935	0.0952574
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.247145	0.0716755
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.311805	0.324704
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-1.38662	0.00122728
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	0.875054	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	0.222822	0.250044
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-0.181291	0.61211
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	0.621902	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.650254	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.470351	0.000903033
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	0.435368	0.00184767
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	-0.186231	0.282431
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.410707	0.0304762
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.0328101	0.851361
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.186913	0.653001
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	2.05775	0.016488
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	-0.118995	0.516903
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.132491	0.364357
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.0887673	0.795005
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.877332	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.484439	0.00413608
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.0129258	0.978541
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.03168	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.162998	0.249482
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.463728	0.00106626
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.435433	0.000903033
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.779254	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	1.05467	0.000202999
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.563199	0.000202999
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.375202	0.29751
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.33424	0.0288507
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.048018	0.812208
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0806274	0.600222
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.59096	0.0651462
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-0.295052	0.0246085
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.524192	0.0016951
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	0.537719	0.142816
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-1.11428	0.000202999
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	-0.0877025	0.563442
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.403604	0.00440823
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.465496	0.000565493
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	0.862306	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	-0.221267	0.287628
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	-0.20586	0.152777
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	0.163234	0.699921
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.39997	0.00287867
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.520664	0.000565493
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	-0.0693223	0.655287
Proline	Cz03g00100	ProDH1	Proline dehydrogenase 1	0.237687	0.496573
EPA	Cz03g00250	FAD6	Omega-6 fatty acid desaturase (chloroplast)	-0.710231	0.0415731
Beta_Carotene	Cz04g00120	CRTISO	Carotene isomerase	-1.60931	0.000202999
Glycine_Betaine	Cz05g00120	BADH1	Betaine aldehyde dehydrogenase 1	-0.660082	0.000202999
IAA	Cz06g00150	YUC1	Flavin monooxygenase YUCCA1 (auxin biosynthesis)	-1.07614	0.00765737
Proline	Cz06g00270	P5CS2	Delta1-pyrroline-5-carboxylate synthetase 2	-0.0649546	0.751088
Beta_Carotene	Cz07g00150	LCYb	Lycopene beta-cyclase	0.545654	0.000202999
Gibberellin_GA3	Cz08g00160	KO	Kaurene oxidase / CYP701A	-0.704937	0.000202999
Lutein	Cz08g00220	LCYe	Lycopene epsilon-cyclase	-0.755674	0.000202999
DHA	Cz08g00310	ELOVL	Very long chain fatty acid elongase	1.43847	0.000202999
ABA	Cz09g00150	NCED2	9-cis-epoxycarotenoid dioxygenase 2	0.448434	0.0189323
Glycine_Betaine	Cz09g00180	CHDH	Choline dehydrogenase	0.259368	0.0636441
Lutein	Cz09g00300	CYP97C	Cytochrome P450 97C epsilon-ring hydroxylase	-0.250214	0.519433
Proline	Cz01g00140	P5CS1	Delta1-pyrroline-5-carboxylate synthetase 1	1.10602	0.00386222
Proline	Cz02g00060	P5CR	Pyrroline-5-carboxylate reductase	0.620527	0.000202999
Beta_Carotene	Cz02g00290	PDS	Phytoene desaturase	0.0719766	0.644919
